Key Question,KLOE,Sub-service,Ref,Checklist Item
Responsive,Timely and equitable access,Nursing,RES-TA-01,"People can access care, support and treatment, including physically, when they need it and in a way that works for them, which promotes equality, removes barriers or delays and protects their rights."
Responsive,Timely and equitable access,Residential,RES-TA-02,"Reasonable adjustments are understood and made to ensure equal access to the service for all. This removes barriers for people who find it hard to access services."
Responsive,Timely and equitable access,Nursing,RES-TA-02,"Reasonable adjustments are understood and made to ensure equal access to the service for all. This removes barriers for people who find it hard to access services."
Responsive,Timely and equitable access,Residential,RES-TA-03,"The service is designed to be accessible and available for people at the point of need, including those most likely to have difficulty accessing care. When there are barriers that prevent equitable access, they are removed."
Responsive,Timely and equitable access,Nursing,RES-TA-03,"The service is designed to be accessible and available for people at the point of need, including those most likely to have difficulty accessing care. When there are barriers that prevent equitable access, they are removed."
Responsive,Equity in experiences,Residential,RES-EE-01,"Leaders and staff work collaboratively to achieve equity. They do this by recognising barriers, collecting and acting on evidence, including people's experiences, and allocating resources to reduce barriers and improve this."
Responsive,Equity in experiences,Nursing,RES-EE-01,"Leaders and staff work collaboratively to achieve equity. They do this by recognising barriers, collecting and acting on evidence, including people's experiences, and allocating resources to reduce barriers and improve this."
Responsive,Equity in experiences,Residential,RES-EE-02,"Interpreting and translation are provided or accessed for people who don't speak English as a first language and for people who use British Sign Language."
Responsive,Equity in experiences,Nursing,RES-EE-02,"Interpreting and translation are provided or accessed for people who don't speak English as a first language and for people who use British Sign Language."
Responsive,Equity in experiences,Residential,RES-EE-03,"Staff are supported to develop the skills they need to remove barriers to effective communication with the people they support."
Responsive,Equity in experiences,Nursing,RES-EE-03,"Staff are supported to develop the skills they need to remove barriers to effective communication with the people they support."
Well-led,Strategic direction,Residential,WEL-SD-01,"The values of the service are clear, understood and supported by staff. They are demonstrated through the behaviour of leaders and in practices within the service. They include key principles such as openness, involvement, respect, human rights, inclusion, diversity and equality."
Well-led,Strategic direction,Nursing,WEL-SD-01,"The values of the service are clear, understood and supported by staff. They are demonstrated through the behaviour of leaders and in practices within the service. They include key principles such as openness, involvement, respect, human rights, inclusion, diversity and equality."
Well-led,Strategic direction,Residential,WEL-SD-02,"Leaders learn from staff who work directly with people, to build trust and mutual understanding. Feedback is valued and used to track progress, shape priorities and drive improvements."
Well-led,Strategic direction,Nursing,WEL-SD-02,"Leaders learn from staff who work directly with people, to build trust and mutual understanding. Feedback is valued and used to track progress, shape priorities and drive improvements."
Well-led,Strategic direction,Residential,WEL-SD-03,The strategy supports the stability and operational sustainability of the service.
Well-led,Strategic direction,Nursing,WEL-SD-03,The strategy supports the stability and operational sustainability of the service.
Well-led,Strategic direction,Residential,WEL-SD-04,"The vision, values and strategy have been developed through structured planning and co-production with people who use the service, staff and partners."
Well-led,Strategic direction,Nursing,WEL-SD-04,"The vision, values and strategy have been developed through structured planning and co-production with people who use the service, staff and partners."
Well-led,Workforce equity and culture,Residential,WEL-WE-01,"The service is committed to workforce equality, understands equity and proactively works to promote equality, diversity and inclusion. Wellbeing, inclusion, trust and open communication are embedded in the culture of the service."
Well-led,Workforce equity and culture,Nursing,WEL-WE-01,"The service is committed to workforce equality, understands equity and proactively works to promote equality, diversity and inclusion. Wellbeing, inclusion, trust and open communication are embedded in the culture of the service."
Well-led,Workforce equity and culture,Residential,WEL-WE-02,"Staff and volunteers are actively encouraged to give feedback, raise concerns, and contribute to improvements through formal speaking up processes. They are confident that they will be treated with compassion and understanding, and will not be blamed, or treated negatively if they do so - including in relation to issues of racism and discrimination."
Well-led,Workforce equity and culture,Nursing,WEL-WE-02,"Staff and volunteers are actively encouraged to give feedback, raise concerns, and contribute to improvements through formal speaking up processes. They are confident that they will be treated with compassion and understanding, and will not be blamed, or treated negatively if they do so - including in relation to issues of racism and discrimination."
Well-led,Workforce equity and culture,Residential,WEL-WE-03,"Staff wellbeing is promoted by providing personalised support, such as making reasonable adjustments, enabling flexible working, ensuring adequate rest, and providing a positive work environment. There is support if people are struggling at work."
Well-led,Workforce equity and culture,Nursing,WEL-WE-03,"Staff wellbeing is promoted by providing personalised support, such as making reasonable adjustments, enabling flexible working, ensuring adequate rest, and providing a positive work environment. There is support if people are struggling at work."
Well-led,Workforce equity and culture,Residential,WEL-WE-04,"The service identifies workforce inequalities against equality, diversity and inclusion objectives; interventions to address these are monitored to evaluate their impact."
Well-led,Workforce equity and culture,Nursing,WEL-WE-04,"The service identifies workforce inequalities against equality, diversity and inclusion objectives; interventions to address these are monitored to evaluate their impact."
Well-led,Workforce equity and culture,Residential,WEL-WE-05,"The service supports staff who face discrimination and takes action against those who discriminate, supported by clear policies and processes."
Well-led,Workforce equity and culture,Nursing,WEL-WE-05,"The service supports staff who face discrimination and takes action against those who discriminate, supported by clear policies and processes."
Well-led,Capable and compassionate leaders,Residential,WEL-CL-01,"Where required, there is a registered manager in post. They understand their responsibilities and are supported by the board, trustees or directors and other managers to deliver good, effective, high-quality care."
Well-led,Capable and compassionate leaders,Nursing,WEL-CL-01,"Where required, there is a registered manager in post. They understand their responsibilities and are supported by the board, trustees or directors and other managers to deliver good, effective, high-quality care."
Well-led,Capable and compassionate leaders,Residential,WEL-CL-02,"High-quality leadership is sustained through safe, effective, and inclusive recruitment and succession planning."
Well-led,Capable and compassionate leaders,Nursing,WEL-CL-02,"High-quality leadership is sustained through safe, effective, and inclusive recruitment and succession planning."
Well-led,Capable and compassionate leaders,Residential,WEL-CL-03,"Leaders are knowledgeable about issues and priorities that affect the quality of the service and have access to appropriate development in their role. They seek support or independent scrutiny where required."
Well-led,Capable and compassionate leaders,Nursing,WEL-CL-03,"Leaders are knowledgeable about issues and priorities that affect the quality of the service and have access to appropriate development in their role. They seek support or independent scrutiny where required."
Well-led,Capable and compassionate leaders,Joint,WEL-CL-04,"The registered manager arrangement (a single manager covering both regulated activities, or separate managers per activity) is clearly defined, and competency is evidenced for whichever activities they are responsible for."
Well-led,Governance and management,Residential,WEL-GM-01,"The service has an accurate statement of purpose that clearly reflects current service provision."
Well-led,Governance and management,Nursing,WEL-GM-01,"The service has an accurate statement of purpose that clearly reflects current service provision."
Well-led,Governance and management,Residential,WEL-GM-02,"There are effective systems for monitoring and managing service performance, risk and learning from incidents that support innovation while maintaining the quality of care at the service."
Well-led,Governance and management,Nursing,WEL-GM-02,"There are effective systems for monitoring and managing service performance, risk and learning from incidents that support innovation while maintaining the quality of care at the service."
Well-led,Governance and management,Residential,WEL-GM-03,"There are secure and reliable arrangements for the availability, integrity and confidentiality of data, records and data management systems. Information is used effectively to monitor and improve the quality of care. Staff understand their responsibilities when collecting and sharing information."
Well-led,Governance and management,Nursing,WEL-GM-03,"There are secure and reliable arrangements for the availability, integrity and confidentiality of data, records and data management systems. Information is used effectively to monitor and improve the quality of care. Staff understand their responsibilities when collecting and sharing information."
Well-led,Governance and management,Residential,WEL-GM-04,"There are thorough business continuity plans in place for emergencies or natural disasters, such as adverse weather events, and staff know how to put these into practice."
Well-led,Governance and management,Nursing,WEL-GM-04,"There are thorough business continuity plans in place for emergencies or natural disasters, such as adverse weather events, and staff know how to put these into practice."
Well-led,Governance and management,Residential,WEL-GM-05,Data or notifications are consistently submitted to external partners as required.
Well-led,Governance and management,Nursing,WEL-GM-05,Data or notifications are consistently submitted to external partners as required.
Well-led,Governance and management,Joint,WEL-GM-06,"Statement of Purpose accurately describes both regulated activities provided at this location and how the boundary between them is managed."
Well-led,Governance and management,Joint,WEL-GM-07,"Compliance declarations and any CQC notifications correctly identify which regulated activity they relate to."
Well-led,Governance and management,Joint,WEL-GM-08,"Governance and quality assurance oversight covers both regulated activities equally, with no evidence either service is monitored less rigorously than the other."
Well-led,Partnerships and communities,Residential,WEL-PC-01,"The service maintains positive relationships with the local community and works well with community partners."
Well-led,Partnerships and communities,Nursing,WEL-PC-01,"The service maintains positive relationships with the local community and works well with community partners."
Well-led,Partnerships and communities,Residential,WEL-PC-02,"Staff and leaders work in partnership with people and other organisations, so that services work as seamlessly as possible for people."
Well-led,Partnerships and communities,Nursing,WEL-PC-02,"Staff and leaders work in partnership with people and other organisations, so that services work as seamlessly as possible for people."
Well-led,Partnerships and communities,Residential,WEL-PC-03,"The service has strong external relationships and all staff including leaders engage early with people, communities, and partners to share learning with each other, which results in continuous improvements to the service."
Well-led,Partnerships and communities,Nursing,WEL-PC-03,"The service has strong external relationships and all staff including leaders engage early with people, communities, and partners to share learning with each other, which results in continuous improvements to the service."
Well-led,Partnerships and communities,Residential,WEL-PC-04,"People who use the service are meaningfully involved in how it is designed, delivered and evaluated, including through co-production with residents and families."
Well-led,Partnerships and communities,Nursing,WEL-PC-04,"People who use the service are meaningfully involved in how it is designed, delivered and evaluated, including through co-production with residents and families."
Well-led,Improvement innovation and learning,Residential,WEL-IL-01,"Staff and leaders understand how to drive improvement through consistent approaches that enable the right environment for improvement, measuring outcomes and impact."
Well-led,Improvement innovation and learning,Nursing,WEL-IL-01,"Staff and leaders understand how to drive improvement through consistent approaches that enable the right environment for improvement, measuring outcomes and impact."
Well-led,Improvement innovation and learning,Residential,WEL-IL-02,"Leaders foster a culture of trust by encouraging staff to speak up with ideas for improvement and innovation, and by actively investing time to listen and engage."
Well-led,Improvement innovation and learning,Nursing,WEL-IL-02,"Leaders foster a culture of trust by encouraging staff to speak up with ideas for improvement and innovation, and by actively investing time to listen and engage."
Well-led,Improvement innovation and learning,Residential,WEL-IL-03,"Staff and leaders engage with external work, including research, and embed evidence-based good practice in the service."
Well-led,Improvement innovation and learning,Nursing,WEL-IL-03,"Staff and leaders engage with external work, including research, and embed evidence-based good practice in the service."
Well-led,Improvement innovation and learning,Residential,WEL-IL-04,"Leaders encourage collective problem-solving and innovation; staff at all levels are involved in identifying and addressing problems to achieve consistency in the quality of care."
Well-led,Improvement innovation and learning,Nursing,WEL-IL-04,"Leaders encourage collective problem-solving and innovation; staff at all levels are involved in identifying and addressing problems to achieve consistency in the quality of care."
